Datetime,Event,Actual,Forecast,Deviation
2023-02-14 13:30:00,CPI,0.4,0.4,0.0
2023-02-15 13:30:00,Retail,3.0,1.8,1.2
2023-02-15 13:30:00,Retail,2.3,0.8,1.4999999999999998
2023-02-16 13:30:00,PPI,0.7,0.4,0.29999999999999993
2023-02-16 13:30:00,Jobless,194000.0,200000.0,-6000.0
2023-02-23 13:30:00,GDP,2.7,2.9,-0.19999999999999973
2023-02-23 13:30:00,Jobless,192000.0,200000.0,-8000.0
2023-03-01 15:00:00,ISM,47.7,48.0,-0.29999999999999716
2023-03-02 13:30:00,Jobless,190000.0,195000.0,-5000.0
2023-03-08 13:15:00,ADP,242000.0,200000.0,42000.0
2023-03-09 13:30:00,Jobless,211000.0,195000.0,16000.0
2023-03-10 13:30:00,NFP,311000.0,205000.0,106000.0
2023-03-10 13:30:00,Earnings,0.2,0.3,-0.09999999999999998
2023-03-14 12:30:00,CPI,0.5,0.4,0.09999999999999998
2023-03-14 12:30:00,CPI,0.4,0.4,0.0
2023-03-14 12:30:00,CPI,6.0,6.0,0.0
2023-03-15 12:30:00,PPI,-0.1,0.3,-0.4
2023-03-15 12:30:00,Retail,-0.4,-0.3,-0.10000000000000003
